k,condition,run,outcome,count,path
75,Packet loss 1% / 25,run_02,timeout_or_slo_miss,3126,/Users/andrewjones/Projects/masters-dissertation-project/scripts/riak/data_extraction/experiments/k_075/packetloss_1percent_25/run_02
75,Packet loss 1% / 25,run_03,subread_error,588,/Users/andrewjones/Projects/masters-dissertation-project/scripts/riak/data_extraction/experiments/k_075/packetloss_1percent_25/run_03
75,Packet loss 1% / 25,run_03,timeout_or_slo_miss,3903,/Users/andrewjones/Projects/masters-dissertation-project/scripts/riak/data_extraction/experiments/k_075/packetloss_1percent_25/run_03
100,Packet loss 1% / 25,run_01,ok,1403,/Users/andrewjones/Projects/masters-dissertation-project/scripts/riak/data_extraction/experiments/k_100/packetloss_1percent_25/run_01
100,Packet loss 1% / 25,run_01,subread_error,11,/Users/andrewjones/Projects/masters-dissertation-project/scripts/riak/data_extraction/experiments/k_100/packetloss_1percent_25/run_01
100,Packet loss 1% / 25,run_01,timeout_or_slo_miss,3670,/Users/andrewjones/Projects/masters-dissertation-project/scripts/riak/data_extraction/experiments/k_100/packetloss_1percent_25/run_01
100,Packet loss 1% / 25,run_02,ok,1416,/Users/andrewjones/Projects/masters-dissertation-project/scripts/riak/data_extraction/experiments/k_100/packetloss_1percent_25/run_02
100,Packet loss 1% / 25,run_02,subread_error,8,/Users/andrewjones/Projects/masters-dissertation-project/scripts/riak/data_extraction/experiments/k_100/packetloss_1percent_25/run_02
100,Packet loss 1% / 25,run_02,timeout_or_slo_miss,3692,/Users/andrewjones/Projects/masters-dissertation-project/scripts/riak/data_extraction/experiments/k_100/packetloss_1percent_25/run_02
100,Packet loss 1% / 25,run_03,ok,2752,/Users/andrewjones/Projects/masters-dissertation-project/scripts/riak/data_extraction/experiments/k_100/packetloss_1percent_25/run_03
100,Packet loss 1% / 25,run_03,subread_error,12,/Users/andrewjones/Projects/masters-dissertation-project/scripts/riak/data_extraction/experiments/k_100/packetloss_1percent_25/run_03
100,Packet loss 1% / 25,run_03,timeout_or_slo_miss,3278,/Users/andrewjones/Projects/masters-dissertation-project/scripts/riak/data_extraction/experiments/k_100/packetloss_1percent_25/run_03
