k,condition,run,outcome,count,path
50,Packet loss 1% / 25,run_2,ok,8630,/Users/andrewjones/Projects/masters-dissertation-project/scripts/riak/data_extraction/experiments/riak/k_050/packetloss_1percent_25/run_2
50,Packet loss 1% / 25,run_3,ok,8566,/Users/andrewjones/Projects/masters-dissertation-project/scripts/riak/data_extraction/experiments/riak/k_050/packetloss_1percent_25/run_3
75,Packet loss 1% / 25,run_1,ok,6615,/Users/andrewjones/Projects/masters-dissertation-project/scripts/riak/data_extraction/experiments/riak/k_075/packetloss_1percent_25/run_1
75,Packet loss 1% / 25,run_1,timeout_or_slo_miss,29,/Users/andrewjones/Projects/masters-dissertation-project/scripts/riak/data_extraction/experiments/riak/k_075/packetloss_1percent_25/run_1
75,Packet loss 1% / 25,run_2,ok,6715,/Users/andrewjones/Projects/masters-dissertation-project/scripts/riak/data_extraction/experiments/riak/k_075/packetloss_1percent_25/run_2
75,Packet loss 1% / 25,run_2,timeout_or_slo_miss,11,/Users/andrewjones/Projects/masters-dissertation-project/scripts/riak/data_extraction/experiments/riak/k_075/packetloss_1percent_25/run_2
75,Packet loss 1% / 25,run_3,ok,6659,/Users/andrewjones/Projects/masters-dissertation-project/scripts/riak/data_extraction/experiments/riak/k_075/packetloss_1percent_25/run_3
75,Packet loss 1% / 25,run_3,timeout_or_slo_miss,10,/Users/andrewjones/Projects/masters-dissertation-project/scripts/riak/data_extraction/experiments/riak/k_075/packetloss_1percent_25/run_3
100,Packet loss 1% / 25,run_1,ok,4889,/Users/andrewjones/Projects/masters-dissertation-project/scripts/riak/data_extraction/experiments/riak/k_100/packetloss_1percent_25/run_1
100,Packet loss 1% / 25,run_1,timeout_or_slo_miss,225,/Users/andrewjones/Projects/masters-dissertation-project/scripts/riak/data_extraction/experiments/riak/k_100/packetloss_1percent_25/run_1
100,Packet loss 1% / 25,run_2,ok,5017,/Users/andrewjones/Projects/masters-dissertation-project/scripts/riak/data_extraction/experiments/riak/k_100/packetloss_1percent_25/run_2
100,Packet loss 1% / 25,run_2,timeout_or_slo_miss,170,/Users/andrewjones/Projects/masters-dissertation-project/scripts/riak/data_extraction/experiments/riak/k_100/packetloss_1percent_25/run_2
100,Packet loss 1% / 25,run_3,ok,4973,/Users/andrewjones/Projects/masters-dissertation-project/scripts/riak/data_extraction/experiments/riak/k_100/packetloss_1percent_25/run_3
100,Packet loss 1% / 25,run_3,timeout_or_slo_miss,231,/Users/andrewjones/Projects/masters-dissertation-project/scripts/riak/data_extraction/experiments/riak/k_100/packetloss_1percent_25/run_3
